,name,official_name,alias,origins,climate,description,difficulty,water,light,humidity,temperature,toxicity,format,leaf_shape,image_url,url,height,width,id,leaf_green,leaf_multicolored,leaf_oblong,leaf_oval,leaf_teardrop,leaf_triangular,leaf_spear,leaf_heart,leaf_wavy,leaf_palmate,leaf_split,leaf_round,leaf_ribbon,leaf_pattern,growth_cluster,growth_dense,growth_upright,growth_shrubby,growth_cascading,growth_tree
26,Rubber Tree,Ficus elastica 'Burgundy',"Rubber Fig, Rubber Bush, Rubber Plant, Indian Rubber Plant, Indian Rubber Tree","India, Malaysia",Tropical,"Sturdy, leathery leaves that range from a striking deep dark green to burgundy black make the Rubber Tree a standout plant. Generally potted in groups of a few stems, this elegant plant looks just as nice whether a petite, bush-like plant or a stately tree branching out and up!",0.5,0.5,1.0,0.5,0.0,0.5,Can be trained into a single trunk tree-form.,Glossy dark green with an almond shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e175e5f6ef6f3bbdb75d_rubber%20tree-export.png,https://www.howmanyplants.com/plant/rubber-tree,0.4358974358974359,0.3783369834385422,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,Calathea Medallion,Calathea roseopicta,Prayer Plant,South America,Tropical,"Show-stopping leaves on this one! This Calathea has big round leaves with a frilly ridged texture. The leaves are graced with painterly brush strokes in various shades of green, while the undersides are a vibrant magenta.",1.0,1.0,0.5,1.0,0.0,0.0,Low bushy clusters of densely packed stems.,Round leaves with ridges and a painterly pattern.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f98ab602acfe51547b5f020_calathea%20medallion-export.png,https://www.howmanyplants.com/plant/calathea-medallion,0.07692307692307693,0.17192711240892627,28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
28,Calathea Rattlesnake,Calathea lancifolia,Prayer Plant,South America,Tropical,The unusual leaf pattern of alternating small and large spots rivals any animal print out there. This Calathea also features slender frilly edged leaves with bright magenta undersides.,1.0,1.0,0.5,1.0,0.0,0.0,Low bushy clusters of densely packed stems.,Slender leaves with ridges and a unique pattern.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f98ab9d5978b10ccdbbc76b_calathea%20rattlesnake-export.png,https://www.howmanyplants.com/plant/calathea-rattlesnake,0.07692307692307693,0.17192711240892627,29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
29,Calathea Orbifolia,Calathea orbifolia,Prayer Plant,South America,Tropical,"Huge shiny round leaves with slivery green stripes radiating outward make this a particularly captivating Calathea! The large leaves make their ""prayer"" action all the more dramatic, lifting and lowering their leaves from night to day.",1.0,1.0,0.5,1.0,0.0,0.0,Low bushy clusters of densely packed stems.,Large round leaves with ridges and a stripe pattern.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f98b10a2acfe5aadbb5ff78_calathea%20orbifolia-export.png,https://www.howmanyplants.com/plant/calathea-orbifolia,0.1282051282051282,0.27513204792373425,30,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
30,Maranta,Maranta leuconeura,"Prayer Plant, Herringbone Plant",South America,Tropical,"The variegated green leaves with bright red veining and undersides make this prayer plant a standout. A variant known as 'Lemon Lime' trades the red for bright neon green! A low creeping plant, they really shine on a high shelf or hanging planter!",0.5,1.0,0.5,1.0,0.0,0.5,Low bushy clusters of densely packed stems.,Oval leaves in shades of green with a herringbone pattern.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e09574b213b365177ad6_prayer%20plant-export.png,https://www.howmanyplants.com/plant/maranta,0.1794871794871795,0.3783369834385422,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
31,Golden Pothos,Epipremnum aureum,"Devil's Ivy, Sweetheart Vine, Ceylon Creeper, Hunter's Robe","Southeast Asia, French Polynesia",Tropical,"Fast growing and easy going, Pothos are one of the most popular houseplants around. While there are many beautiful variants, this Golden Pothos stands out with fun yellow variegation. All Pothos will trail, but they can also climb if provided a little support or training.",0.0,0.5,0.0,0.5,0.0,0.5,A low shrubby plant that vines to great lengths.,Vibrant green with variegation and a heart shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e080e8121dc565d4d43f_golden%20pothos-export.png,https://www.howmanyplants.com/plant/golden-pothos,1.0,1.0,32,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
32,Parlor Palm,Chamaedorea elegans,"Neanthe Bella Palm, Victorian Palm, Good Luck Palm",Central America,Tropical,"The simple elegance of this feathery palm is hard to deny. Generally grown in bundles or clumpsâeven a small specimen will have a pleasant bushy look. More mature specimens are sure to anchor any space with their tall fronds, parlor or not!",0.25,0.5,0.0,0.0,0.0,0.0,Densely packed upright stems.,Feathery green fronds.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fbc51c7aae2f773b6545a90_parlor%20palm-export.png,https://www.howmanyplants.com/plant/parlor-palm,0.28205128205128205,0.27513204792373425,33,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
33,Alocasia Polly,"N/A, but known as Alocasia Amazonica","Amazon Elephant's Ear, African Mask",Southeast Asia & Philippines,Tropical,This Alocasia brings the drama! With frilly arrowhead shaped leaves in a deep dark green with highly contrasted veining and rich purple undersides! The unusual look is a striking addition to any plant fam.,0.5,1.0,0.5,0.5,1.0,1.0,Upright clusters of long stems.,Dark green with a ruffled arrowhead shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f988e315142e7634b065a6d_alocasia%20polly-export.png,https://www.howmanyplants.com/plant/alocasia-polly,0.07692307692307693,0.17192711240892627,34,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
34,Ponytail Palm,Beaucarnea recurvata,"Elephant's Foot, Bottle Palm",Eastern Mexico,Tropical (semi-arid region),"A sassy looking plant, indeed! The Ponytail Palm (though not actually a palm) is distinguished by its plump swollen stem (called a caudex) topped by a bundle of flowing slender and often curly leavesânot unlike a ponytail!",0.25,0.0,1.0,0.0,1.0,0.0,Upright tree-like formation.,Long ribbon-like blades in a bright green.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e058634be169acb156e1_ponytail%20palm-export.png,https://www.howmanyplants.com/plant/ponytail-palm,0.28205128205128205,0.4815419189533502,35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35,Dracaena,Dracaena marginata,"Dragon Tree, Madagascar Dragon Tree",Madagascar,Subtropical,"The spiky grass-like blades that fountain out from the tops of wavy branches on these indoor trees make for an eye-catching houseplant. Sometimes mistaken for a type of palm, these Dracaena are actually related to Snake Plants and Yucca!",0.25,0.0,0.0,0.0,0.0,0.5,Upright tree-like formation.,Long ribbon-like blades in green with a red margin.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f98ad4154fce52937c14878_dracaena%20marginata-export.png,https://www.howmanyplants.com/plant/dracaena,0.38461538461538464,0.27513204792373425,36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
36,Schefflera,Schefflera arboricola,"Umbrella Plant, Dwarf Schefflera, Gold Capella","Australia, Taiwan",Subtropical,A unique plant with their small palm-shaped leaf bundles radiating out like little bursts of green (and sometimes splashes of yellow if you have a variegated specimen). You can find this plant as a petite bush-like plant or an impressive tree growing to great heights!,0.25,0.5,1.0,0.5,0.0,0.5,Can be trained into a single trunk tree-form.,Bright green palmate leaf bundles.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1dfba8227abe2e2c6339d_schefflera-export.png,https://www.howmanyplants.com/plant/schefflera,0.4358974358974359,0.3783369834385422,37,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
37,Dieffenbachia,Dieffenbachia amoena 'Tropic Snow',Dumb Cane,"Caribbean, Central & South America",Tropical,"Large teardrop leaves in bright green with showy yellow flecks and splatters that emerge from a sturdy cane-like stalk. A fast growing friend, watching the Dieffenbachia transform year over year can be quite rewarding.",0.25,0.5,0.5,0.0,0.0,1.0,Upright cane-like stalks.,Bright green with variegation and a large teardrop shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f98ad6a720201442c734efd_dieffenbachia-export.png,https://www.howmanyplants.com/plant/dieffenbachia,0.1794871794871795,0.27513204792373425,38,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,Philodendron Selloum,Thaumatophyllum bipinnatifidum (FKA Philodendron),"Lacy Tree, Philodendron Hope, Philodendron Lickety-Split",Central & South America,Tropical,"A big frilly floppy split leaf graces this Philodendron! This tropical plant can be found in massive proportions in the wild and they are equally impressive (albeit smaller) indoors. A commonly sold hybrid was named 'Lickety-Split', which we think fits perfectly!",0.25,0.5,0.5,0.5,0.0,1.0,"Densely packed, outward reaching stems.",Bright green with deeply lobed frilly edges.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e109fe2b8b22df985567_philodendron%20selloum-export.png,https://www.howmanyplants.com/plant/philodendron-selloum,0.38461538461538464,0.27513204792373425,39,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
39,Alocasia Calidora,Alocasia x 'Calidora',"Elephant's Ear, Persian Palm",East & Southeast Asia,Tropical & Subtropical,This large leafed plant friend is sure to bring some serious jungle vibes to your space. The fun frilly arrowhead shaped leaves are a brilliant shade of bright green that like to point up towards the sun!,0.5,1.0,1.0,0.5,1.0,1.0,Upright clusters of long stems.,Bright green with a ruffled arrowhead shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f9888abbfa9af446238dee0_alocasia%20calidora-export.png,https://www.howmanyplants.com/plant/alocasia-calidora,0.28205128205128205,0.3783369834385422,40,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
40,Tricolor Hoya,Hoya carnosa 'Tricolor',"Wax Plant, Wax Vine, Porcelain Flower",Southeast Asia,Tropical,Plump waxy leaves that are green on the edges with light green to almost white in the center. You may also notice some leaves with a pinkish hue! A high shelf or hanging planter is perfect for displaying their trailing tendrils.,0.5,0.0,0.0,0.5,0.0,0.5,Cascading tendrils create a mane-like look.,Bright green with variegation and a petite almond shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1dff04b709cafaba6551c_tricolor%20hoya-export.png,https://www.howmanyplants.com/plant/tricolor-hoya,0.28205128205128205,0.27586206896551724,41,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41,Spotted Begonia,Begonia maculata,"Polka Dot Begonia, Trout Begonia, Angel Wing Begonia, 'Wightii'",Eastern Brazil,Subtropical,"Quite a cheery little plant. Known for their 'angel wing' leaves with the cutest silver polka dots and red undersides! These are cane-type begonias, which means they grow on upright stems, generally in clusters or clumps and can grow quite tall!",0.5,0.5,1.0,0.5,0.0,0.5,Upright cane-like stalks.,Olive green with polka dots and angel-wing shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1dffec9185339aa06dbe8_spotted%20begonia-export.png,https://www.howmanyplants.com/plant/spotted-begonia,0.1282051282051282,0.17192711240892627,42,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,String of Dolphins,Curio x peregrinus (FKA Senecio),"Dolphin Necklace, Dolphin Plant, Flying Dolphins",Southwest Africa,Subtropical,A cutie for sure! Named for the adorable little leaves that look like dolphins jumping out of the water! These gorgeous cascading stems are perfect for a high shelf or a hanging planter.,0.5,0.0,1.0,0.0,0.0,0.5,Cascading tendrils create a mane-like look.,"Plump vibrant green, shaped like dolphins.",https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa444d8a2885a22bf33ad7a_string%20of%20dolphins-export.png,https://www.howmanyplants.com/plant/string-of-dolphins,0.1282051282051282,0.1206896551724138,43,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
43,String of Hearts,Ceropegia woodii,"Chain of Hearts, Rosary Vine, Heart Vine",Southern Africa,Subtropical,Distinguished for their garland-like trailing stems with adorable little leaves that resemble hearts! The coloration can vary from solid green (often with contrasting veining) to a green/white marbled look on the front and a delightful pink hue on the back.,0.5,0.0,1.0,0.0,0.0,0.5,Cascading tendrils create a mane-like look.,Rounded hearts in a variegated green.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1eb22625e470a78b04dca_string%20of%20hearts-export.png,https://www.howmanyplants.com/plant/string-of-hearts,0.1282051282051282,0.1206896551724138,44,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
44,Fishbone Cactus,Disocactus anguliger,"Zig Zag Cactus, Ric Rac Cactus",Central America,Tropical,"Quite a unique trailing houseplant, the Fishbone Cactus is distinguished by leaves that grow in a wonderfully wiggly zig zag pattern! They shoot straight up and then curve down as they grow longer and longer.",0.25,0.0,1.0,0.5,0.0,0.5,Cascading tendrils create a mane-like look.,Vibrant green tendrils in a zig-zag shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e024370f8227a2ece6a6_fishbone%20cactus-export.png,https://www.howmanyplants.com/plant/fishbone-cactus,0.1282051282051282,0.1206896551724138,45,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
45,Peace Lily,Spathiphyllum wallisii,Spath Lily,"Central & South America, Southeast Asia",Tropical,A pleasantly lush cluster of vibrant green leaves create the perfect backdrop for the elegant white blooms that peek out in spring (with a bonus appearance in the fall)... and can stick around for quite awhile.,0.25,1.0,0.0,0.5,1.0,1.0,Densely packed upright stems.,Bright green with an elongated teardrop shape and a white inflorescence.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ad4179a66b4717ebe25e5f_peace%20lily-export.png,https://www.howmanyplants.com/plant/peace-lily,0.05128205128205128,0.06872217689411832,46,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
46,Aloe Plant,Aloe vera,Aloe barbadensis,Southeast Arabian Peninsula,Tropical (semi-arid region),A lovely rosette of spear-like leaves fan out from a central stem. This particularly easy going succulent sports extra plump leaves that contain a first-aid bonus inside. The watery gel in each spear can provide quick relief for burns or bites.,0.0,0.0,1.0,0.0,0.0,1.0,Densely packed upright leaves.,Plump green or blue-green spears with serrated edges.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ad47ccedc01726e0ab73e6_aloe%20plant-export.png,https://www.howmanyplants.com/plant/aloe-plant,0.07692307692307693,0.17192711240892627,47,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
47,Boston Fern,Nephrolepis exaltata 'Bostoniensis',"Sword Fern, Ladder Fern, Boss Fern",South America,Tropical & Subtropical,One of the most popular ferns and for good reason - the delicately textured fronds create a particularly fluffy and lush look that is hard to resist and will certainly sit pretty in a hanging planter or high shelf. Not to mention those Jurassic forest vibes.,0.5,1.0,0.5,1.0,0.0,0.0,Cascading tendrils create a mane-like look.,Fluffy green fronds.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ad4093187e46817b2bed3b_boston%20fern-export.png,https://www.howmanyplants.com/plant/boston-fern,0.1282051282051282,0.27513204792373425,48,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
48,Watermelon Peperomia,Peperomia argyreia,Watermelon Begonia,Northern South America,Tropical,"A simply adorable little plant whose leaves strike an uncanny resemblance to the rind of a watermelon. This petite, but bushy plant will stand out all on its own or cozied up to a few friends.",0.5,0.5,1.0,0.5,0.0,0.0,Low bushy clusters of densely packed stems.,Thick round leaves with a stripe pattern.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ad47c2644bac79a96a433c_watermelon%20peperomia-export.png,https://www.howmanyplants.com/plant/watermelon-peperomia,0.008547008547008548,0.0,49,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
49,Tradescantia Nanouk,Tradescantia albiflora 'Nanouk',"Spiderwort, Inch Plant, Fantasy Venice, Wandering Jew (or Dude)","Caribbean, Central & South America",Tropical,"A striking plant whose colors and patterns bring a dash of delight to any plant fam. The pretty leaves stack up on an upright stem that will eventually cascade over the planter. The shock of bright, almost neon, magenta on the underside of each leaf gets us every time!",0.5,0.5,1.0,0.5,0.0,0.5,Low bushy clusters of densely packed stems.,Vibrant colors and striations on petite almond-shaped leaves.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ad4ac89bbf6d7f1dffead9_tradescantia%20nanouk-export.png,https://www.howmanyplants.com/plant/tradescantia-nanouk,0.07692307692307693,0.06896551724137931,50,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
50,Satin Pothos,Scindapsus pictus 'Argyraeus',"Silk Pothos, Silver Pothos, Silver Philodendron, Silver Vine, Silver Cloud",Southeast Asia,Tropical,An understated beauty whose elegant grey-green leaves and silvery spots shimmer in the light as they tumble down in long vines. But those vines will also climb if provided a little support or training.,0.25,0.5,1.0,0.5,1.0,0.5,A low shrubby plant that vines to great lengths.,Grey-green with spotted variegation and a heart shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ef1a305a320101bee3b6f2_satin%20pothos-export.png,https://www.howmanyplants.com/plant/satin-pothos,1.0,1.0,51,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
51,Starfish Snake Plant,Dracaena cylindrica var. patula 'Boncel' (FKA Sansevieria),"African Spear Plant, Cylindrical Snake Plant, Spear Sansevieria, Spear Orchid",West Africa,Tropical Savannah,"This snake plant is distinguished by their chubby spear-like leaves that splay out to resemble a starfish. Often potted in multiples, the aquatic effect can be quite striking.",0.0,0.0,0.0,0.0,0.0,0.5,Densely packed upright leaves.,Cylindrical spears in bright green with variegation.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ef1e156fc6028e2de6d7e1_starfish%20snake%20plant-export.png,https://www.howmanyplants.com/plant/starfish-snake-plant,0.1282051282051282,0.17192711240892627,52,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
52,African Milk Tree,Euphorbia trigona 'Rubra',"African Milk Bush, Cathedral Cactus, Abyssinian Euphorbia, High Chaparral, Friendship Cactus",West Africa,Tropical Savannah,"One of the most whimsical plants we've encountered. The central stem and clusters of ""arms"" create a tree-like look, while each stem is studded with rows of leaves that stick out and remind us of an aquatic creature and/or alien. This particular variety is also accented with a tinge of red!",0.25,0.0,1.0,0.0,0.0,0.5,"A central upright stem with multiple branches or ""arms"".",Perky little leaves with a teardrop shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ef1e5265b9a7a14f9ff793_african%20milk%20tree-export.png,https://www.howmanyplants.com/plant/african-milk-tree,0.1794871794871795,0.17192711240892627,53,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
53,Bird's Nest Fern,Aspelnium nidus,Nest Fern,Southeast Asia,Tropical,"A bit of a wild-child, this fern's playfully ruffled fronds create a tangle that resembles a bird's nest. Some say the fuzzy buds of new growth that are yet to be unfurled have the look eggs nestled at the center of the plant.",0.5,1.0,0.5,1.0,0.0,0.0,Low bushy clusters of densely packed stems.,Slender leaves with a wavy texture.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ef29eee0dd2d42240836cb_bird%27s%20nest%20fern-export.png,https://www.howmanyplants.com/plant/birds-nest-fern,0.23076923076923078,0.4815419189533502,54,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
54,English Ivy,Hedera helix,"European Ivy, Ivy",Eastern Europe,Temperate,"Ivy is often thought of for their ability to either give the side of your house a distinguished collegiate look or invade your entire yard. But as a houseplant, the lovely tangle of vines is a welcome addition to any collection (and much easier to manage).",0.5,1.0,1.0,0.5,0.0,0.5,A low shrubby plant that vines to great lengths.,Deep green palmate leaves.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/60ef2aacbaa437232aca5835_english%20ivy-export.png,https://www.howmanyplants.com/plant/english-ivy,1.0,1.0,55,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
